id,meanWi_before1970,meanSu_before1970,meanWi_after1990,meanSu_after1990,lat,long,elev
2676,0.9,24.65238095,2.112962963,24.64259259,37.23,-89.57,102
2678,8.527777778,26.68333333,10.11190476,25.97777778,36.33,-119.95,73
2682,6.935714286,26.55757576,7.471794872,26.49722222,33.5,-90.08,47
2683,12.71733333,27.70066667,13.27361111,28.19666667,30.35,-87.32,10
2684,10.65952381,26.38888889,11.22222222,26.88055556,30.72,-87.02,54
2685,8.18018018,26.4124498,8.491666667,26.52179487,34.2,-79.7,45
2686,19.28939394,25.03174603,18.55,25.4,28.22,-177.37,3
2687,21.9,25.5,22.09666667,25.62916667,22.03,-159.78,4
2688,22.24552846,25.75526316,22.5,26.18,21.98,-159.35,45
2689,23.81825397,26.86507937,22.88125,27.10238095,21.32,-158.07,15
2690,23.13617886,26.37008547,23.40144928,27.33787879,21.35,-157.93,5
2691,21.52105263,24.95789474,21.47833333,25.27,21.15,-157.1,137
2692,-18.74531835,3.635658915,-15.18571429,4.357142857,72.78,-56.17,122
2693,-11.70079365,5.914166667,-10.99807692,5.909027778,68.7,-52.75,41
2694,-9.005185185,5.193518519,-6.747435897,6.104666667,64.17,-51.75,70
2695,-29.08518519,1.518518519,-27.756,2.360869565,81.6,-16.67,34
2696,-22.9122807,2.296491228,-21.33974359,2.870666667,76.77,-18.67,12
2697,-15.96547619,2.3,-11.3,NA,70.4,-22,41
2698,-7.426888889,5.992567568,-5.562820513,6.091666667,65.6,-37.63,52
2699,-3.656666667,6.273684211,-3.36474359,6.342666667,60.05,-43.17,74
2700,24.61770833,27.2,25.47361111,28.19318182,18.05,-63.12,9
2701,25.74351852,27.61333333,26.534,28.41904762,12.2,-68.97,67
2702,-0.982291667,12.29166667,-1.998717949,13.18809524,46.77,-56.17,5
2704,27.73835341,24.62439024,28.68333333,25.484,-12.4,130.87,30
2705,27.78333333,23.52222222,28.25,23.98333333,-12.57,131.3,10
2706,28.38809524,24.83888889,29.08333333,25.2,-12.32,133.05,9
